year,hours,raw_hours,playback_events,active_days,unique_tracks,unique_artists,exact_duplicate_rows,coverage
2015,10.8,10.8,406,7,163,55,0,partial
2016,19.8,19.8,644,36,227,88,1,partial
2017,367.7,367.7,9531,315,1857,686,4,complete
2018,469.4,470.4,15303,336,2723,931,49,complete
2019,390.1,390.2,12975,343,2523,807,7,complete
2020,977.3,977.3,21855,351,3748,1251,2,complete
2021,714.4,715,19820,353,6421,1963,14,complete
2022,560,561.2,19244,347,5222,1818,48,complete
2023,462.8,462.8,17151,330,4690,1889,0,complete
2024,539.9,539.9,19378,353,6089,2362,0,complete
2025,570,570,19850,343,5604,2040,0,complete
2026,272,272,8140,199,3057,1132,0,partial
