artist_name,year,ms_played,hours,playback_events,unique_tracks,representative_track_uri
Bad Bunny,2017,26794288,7.442858,203,11,spotify:track:5MT96Zz0ymUJNm8obKZQr0
Bad Bunny,2018,92078071,25.577242,743,24,spotify:track:3ITvHA9zhZZdBJsOsAUegF
Bad Bunny,2019,187524498,52.090138,1553,42,spotify:track:4vCAzANUWDE24URV6wQ4ra
Bad Bunny,2020,578118882,160.588578,3698,81,spotify:track:5J7teKIJGtqVypgYI6sqXj
Bad Bunny,2021,166276595,46.187943,1432,86,spotify:track:5J7teKIJGtqVypgYI6sqXj
Bad Bunny,2022,563033703,156.398251,5286,110,spotify:track:5kVZxyMY1gfdCLiChsfjn1
Bad Bunny,2023,359560608,99.877947,3174,131,spotify:track:6VrQTLzzuyGIYjUDe4kAZk
Bad Bunny,2024,203499196,56.527554,1854,122,spotify:track:69ZaPBHhRMRDjRpW1ivnOU
Bad Bunny,2025,38621330,10.728147,293,88,spotify:track:69ZaPBHhRMRDjRpW1ivnOU
Anuel AA,2017,45514577,12.642938,303,12,spotify:track:4J1e3hbf0e5YUZjkxyJWD3
Anuel AA,2018,47103180,13.084217,376,26,spotify:track:4J1e3hbf0e5YUZjkxyJWD3
Anuel AA,2019,23519836,6.533288,218,27,spotify:track:5W83ErFkO3aKAIS1WMi6u0
Anuel AA,2020,264854974,73.570826,1516,76,spotify:track:59opNPpK6yzO1kQXhNCSje
Anuel AA,2021,64644429,17.956786,562,80,spotify:track:4vAsjqRZHlqGvY8Rqog4il
Anuel AA,2022,60289401,16.747056,506,68,spotify:track:4vAsjqRZHlqGvY8Rqog4il
Anuel AA,2023,128782685,35.772968,1135,77,spotify:track:7k3qWn8D43a5ISa3x8lJux
Anuel AA,2024,65074635,18.076287,546,77,spotify:track:7eDVXAFMt2EERfXy9i63T1
Anuel AA,2025,20281716,5.633810,169,39,spotify:track:32Cg0fAMbosGzbfeqQFrnw
Red Hot Chili Peppers,2017,81149625,22.541563,534,50,spotify:track:3d9DChrdc6BOeFsbrZ3Is0
Red Hot Chili Peppers,2018,108791596,30.219888,815,61,spotify:track:2aibwv5hGXSgw7Yru8IYTO
Red Hot Chili Peppers,2019,48291864,13.414407,332,37,spotify:track:2aibwv5hGXSgw7Yru8IYTO
Red Hot Chili Peppers,2020,69739011,19.371948,373,65,spotify:track:3d9DChrdc6BOeFsbrZ3Is0
Red Hot Chili Peppers,2021,65936113,18.315587,432,79,spotify:track:10Nmj3JCNoMeBQ87uw5j8k
Red Hot Chili Peppers,2022,37151172,10.319770,262,57,spotify:track:3d9DChrdc6BOeFsbrZ3Is0
Red Hot Chili Peppers,2023,42425377,11.784827,218,36,spotify:track:3d9DChrdc6BOeFsbrZ3Is0
Red Hot Chili Peppers,2024,142974106,39.715029,1187,116,spotify:track:3d9DChrdc6BOeFsbrZ3Is0
Red Hot Chili Peppers,2025,68445729,19.012702,513,38,spotify:track:3arKRnq9OUd7yq6LRwVW8I
Soda Stereo,2017,37276342,10.354539,329,49,spotify:track:3gIrZHknAcQrKeCtlJ7El5
Soda Stereo,2018,83821465,23.283740,614,45,spotify:track:2kMVxFh1y5gow2hBtqGO4m
Soda Stereo,2019,29967757,8.324377,220,36,spotify:track:2kMVxFh1y5gow2hBtqGO4m
Soda Stereo,2020,147709317,41.030366,848,122,spotify:track:3R1ySdkdWc0pBVTtoyU9d5
Soda Stereo,2021,142279129,39.521980,911,125,spotify:track:2p4FOWHHd2A6TBmTkdt1G0
Soda Stereo,2022,53130947,14.758596,330,66,spotify:track:7ANQlNlXk5O7UB3Rz1uiqK
Soda Stereo,2023,39579567,10.994324,211,48,spotify:track:7ANQlNlXk5O7UB3Rz1uiqK
Soda Stereo,2024,44101646,12.250457,302,85,spotify:track:060aWWmC9CrLqbhzHQifQf
Soda Stereo,2025,83032183,23.064495,442,107,spotify:track:7IJC1qatyg2t8SZiwJRvID
Genesis,2017,9108094,2.530026,71,24,spotify:track:7safX55XidhznxK5eDdDm5
Genesis,2018,24558524,6.821812,172,27,spotify:track:6JC59vqhncQxWfUqk9x5TE
Genesis,2019,11727822,3.257728,103,34,spotify:track:5fz4MsG3N8D6Zst45qcQfN
Genesis,2020,89569860,24.880517,392,66,spotify:track:27EucbqWP1yp85N820KlAm
Genesis,2021,177640184,49.344496,1036,96,spotify:track:5fz4MsG3N8D6Zst45qcQfN
