Orden día,Día,Orden hora,Hora,Horas
1,Lunes,1,00-02,79.2
1,Lunes,2,02-04,40.8
1,Lunes,3,04-06,17.3
1,Lunes,4,06-08,54.0
1,Lunes,5,08-10,21.2
1,Lunes,6,10-12,44.2
1,Lunes,7,12-14,64.6
1,Lunes,8,14-16,82.1
1,Lunes,9,16-18,91.8
1,Lunes,10,18-20,98.6
1,Lunes,11,20-22,67.5
1,Lunes,12,22-24,74.3
2,Martes,1,00-02,61.9
2,Martes,2,02-04,29.4
2,Martes,3,04-06,14.2
2,Martes,4,06-08,44.4
2,Martes,5,08-10,30.5
2,Martes,6,10-12,39.4
2,Martes,7,12-14,80.3
2,Martes,8,14-16,99.1
2,Martes,9,16-18,104.5
2,Martes,10,18-20,97.1
2,Martes,11,20-22,74.8
2,Martes,12,22-24,74.4
3,Miércoles,1,00-02,69.6
3,Miércoles,2,02-04,35.0
3,Miércoles,3,04-06,14.2
3,Miércoles,4,06-08,52.4
3,Miércoles,5,08-10,20.9
3,Miércoles,6,10-12,51.9
3,Miércoles,7,12-14,94.8
3,Miércoles,8,14-16,88.9
3,Miércoles,9,16-18,101.7
3,Miércoles,10,18-20,84.7
3,Miércoles,11,20-22,62.1
3,Miércoles,12,22-24,71.0
4,Jueves,1,00-02,65.9
4,Jueves,2,02-04,33.1
4,Jueves,3,04-06,9.4
4,Jueves,4,06-08,39.4
4,Jueves,5,08-10,31.3
4,Jueves,6,10-12,45.5
4,Jueves,7,12-14,73.5
4,Jueves,8,14-16,88.6
4,Jueves,9,16-18,98.7
4,Jueves,10,18-20,112.1
4,Jueves,11,20-22,76.4
4,Jueves,12,22-24,73.7
5,Viernes,1,00-02,74.5
5,Viernes,2,02-04,41.3
5,Viernes,3,04-06,17.0
5,Viernes,4,06-08,41.7
5,Viernes,5,08-10,24.1
5,Viernes,6,10-12,46.4
5,Viernes,7,12-14,71.3
5,Viernes,8,14-16,74.7
5,Viernes,9,16-18,111.1
5,Viernes,10,18-20,120.1
5,Viernes,11,20-22,96.3
5,Viernes,12,22-24,87.1
6,Sábado,1,00-02,84.9
6,Sábado,2,02-04,66.2
6,Sábado,3,04-06,34.6
6,Sábado,4,06-08,20.1
6,Sábado,5,08-10,13.4
6,Sábado,6,10-12,26.1
6,Sábado,7,12-14,49.2
6,Sábado,8,14-16,60.7
6,Sábado,9,16-18,86.9
6,Sábado,10,18-20,100.1
6,Sábado,11,20-22,86.7
6,Sábado,12,22-24,69.5
7,Domingo,1,00-02,83.1
7,Domingo,2,02-04,56.5
7,Domingo,3,04-06,38.1
7,Domingo,4,06-08,33.2
7,Domingo,5,08-10,7.7
7,Domingo,6,10-12,10.7
7,Domingo,7,12-14,28.4
7,Domingo,8,14-16,36.7
7,Domingo,9,16-18,66.8
7,Domingo,10,18-20,66.8
7,Domingo,11,20-22,68.5
7,Domingo,12,22-24,70.6
