Prioridad,Artista,Horas escuchadas,% de horas sin clasificar,Años,Canciones principales,Estado MusicBrainz,Método de coincidencia,Sugerencia inicial,Decisión final
1,Flow Bar,7.246,2.12,2017,Immortal Wound | Closer to Mind | Silk Movement,not_found,no_result,,
2,MNDS,6.543,1.92,2017,Two More | Moment in Time | Yesterday's Song,not_found,no_result,,
3,Bee Reel,6.449,1.89,2017,Scienced | Rough Times | Guide Off,not_found,no_result,,
4,Fantasy Percentage,6.121,1.79,2017,Eternal Rain | Vindictive | Only the Truth,not_found,no_result,,
5,Emulated Happiness,6.107,1.79,2017,Serenity | Niche | Coated With Grief,not_found,no_result,,
6,Amandeal,6.089,1.78,2017,Overnight | Formidable to Some | Bottled Fame,not_found,no_result,,
7,Negligent Once,6.056,1.77,2017,Remember | Borderline | Simulated Severity,not_found,no_result,,
8,Initial Combustion,5.989,1.75,2017,special joe | travelling by morse | tight plan,not_found,no_result,,
9,Dearth Joy,5.936,1.74,2017,Safe Bet | Boost Up | Orange Mood,not_found,no_result,,
10,Panacetic Touch,5.897,1.73,2017,Power Of You | Arise | Backwards,not_found,no_result,,
11,Fail Behind,5.862,1.72,2017,Wrong Doing | Cosmic Entrance | Levitation,not_found,no_result,,
12,Custom Fallacy,5.635,1.65,2017,Afraid | Fly Through | Reaction,not_found,no_result,,
13,Fabian Fattorini,2.397,0.70,2021–2024,De Música Ligera | Loco Mia | Cuando Amas A Alguien,matched,exact_normalized_name,,
14,Rodrigo Laffertt,1.409,0.41,2017–2018–2019–2021–2022,Sacrilegio,matched,exact_normalized_name,,
15,Warm Zephyr,1.304,0.38,2017,Abnormality | Gradual Caress | Desperate Desire,not_found,no_result,,
16,Ricketed Faith,1.268,0.37,2017,Do Something | Room for You | The Best Way to Live,not_found,no_result,,
17,Reality Overdue,1.199,0.35,2017,The Most Real Thing | Dark Advantage | From Great Heights,not_found,no_result,,
18,Moral Damage,1.174,0.34,2017,Self Involved | Ignore Me More | Your Loss,not_found,no_result,,
19,Reindependence,1.144,0.33,2017,Life Is Amazing | Little Things | Emotionless,not_found,no_result,,
20,Jonny Joel,1.084,0.32,2019–2020–2021,All Same | Yes or No | Over Me,matched,exact_normalized_name,,
21,FPR,1.046,0.31,2018–2019–2020–2021–2022,Leanx | Lonelyx | Buscox,not_found,no_result,,
22,Proxyport,1.036,0.30,2017,At Risk | Outreach | Social Chaos,not_found,no_result,,
23,Brian M.,1.032,0.30,2020,Esclava,matched,top_search_result,,
24,Sleep Waves,1.030,0.30,2018,Calm Waves | Slow Waves | Windy Waves,not_found,no_result,,
25,Sin Miedo,1.024,0.30,2024–2025,Veni veni | El tranza | Le debemos a todo el mundo,matched,exact_normalized_name,,
26,Mangerous,0.999,0.29,2017,Disgusting Soul | Mad At The Wind | Once A Friend,not_found,no_result,,
27,Permanent Alias,0.979,0.29,2017,Blink Of Youth | Placemodium | Restricted As Such,not_found,no_result,,
28,T Salls,0.844,0.25,2017,Loving to Hate | Uniformed Sound | Last Week,not_found,no_exact_batch_result,,
29,IERS,0.829,0.24,2017,Median | Once More | Reload,not_found,no_exact_batch_result,,
30,Heather Rigdon,0.814,0.24,2024–2025,Young & Naïve | I Miss You Like Paris | Sunday Morning With You,matched,exact_normalized_name,,
31,Silent Clamor,0.813,0.24,2017,Shine | Euroption | Sorrow,not_found,no_exact_batch_result,,
32,Risk Correlation,0.759,0.22,2017,Gut Instinct | Guard Down Pain Up | Never Before,not_found,no_exact_batch_result,,
33,Rife Mind,0.732,0.21,2017,On Your Wings | Acceptance | Denivelation,not_found,no_exact_batch_result,,
34,Protean Remedy,0.722,0.21,2017,Immortal | Old Enough | Skip a Level,not_found,no_exact_batch_result,,
35,Ex Somniac,0.690,0.20,2017,Playtune | When She Follows | S Top,not_found,no_exact_batch_result,,
36,Mark Eternal,0.644,0.19,2017,Mentalist | The Process | I Know,not_found,no_exact_batch_result,,
37,X Terrior,0.639,0.19,2017,Level Up | Concrete | Leader by Default,not_found,no_exact_batch_result,,
38,Imolution,0.615,0.18,2017,Cult of Mind | Blondeless | Questioning,not_found,no_exact_batch_result,,
39,Rainer Trueby,0.612,0.18,2020–2021,Step Forward,not_found,no_exact_batch_result,,
40,Hydroxyde,0.601,0.18,2019–2020–2021,Eclipse,not_found,no_exact_batch_result,,
41,refracted arg,0.551,0.16,2024,La Última Vez,not_found,no_exact_batch_result,,
42,Relaxed Minds,0.545,0.16,2018,Troubled Waters | White Noise Waves | Wave Foam,matched,exact_normalized_name,,
43,Neutron Projectile,0.539,0.16,2017,Strike Through | Proceed | Tailing,not_found,no_exact_batch_result,,
44,Clearly Positive,0.520,0.15,2017,Knowing When | Count on Me | Walk Away,not_found,no_exact_batch_result,,
45,Virtual Trace,0.500,0.15,2017,Severability | Uneventful | Nest Ink,not_found,no_exact_batch_result,,
46,Leaders At Fault,0.485,0.14,2017,Last Night | Face Painting | Nice Memories,not_found,no_exact_batch_result,,
47,EL NOBA,0.481,0.14,2021–2022–2023,Del Año | Tamo Chelo | PICA,matched,exact_normalized_name,,
48,Bhavi,0.480,0.14,2018–2019–2021–2022–2024,Piso | Besame | No Lo Entiendo,matched,exact_normalized_name,,
49,Locked Groove,0.479,0.14,2020–2022–2023,Oscillate | From Beyond | Soma,matched,exact_normalized_name,,
50,Dombresky,0.479,0.14,2019–2020–2021–2022,Simple Hit | Soul Sacrifice | Bubblin,matched,exact_normalized_name,,
51,LewRaz,0.471,0.14,2021–2022,Shady | Feelings | Touch Me,matched,exact_normalized_name,,
52,Chapter & Verse,0.468,0.14,2020–2021–2022,Lights Go Out | Ashes | Acid Baby,matched,exact_normalized_name,,
